dezembro 2015;0.96
janeiro 2016;1.27
fevereiro 2016;0.9
março 2016;0.43
abril 2016;0.61
maio 2016;0.78
junho 2016;0.35
julho 2016;0.52
agosto 2016;0.44
setembro 2016;0.08
outubro 2016;0.26
novembro 2016;0.18
dezembro 2016;0.3
janeiro 2017;0.38
fevereiro 2017;0.33
março 2017;0.25
abril 2017;0.14
maio 2017;0.31
junho 2017;-0.23
julho 2017;0.24
agosto 2017;0.19
setembro 2017;0.16
outubro 2017;0.42
novembro 2017;0.28
dezembro 2017;0.44
janeiro 2018;0.29
fevereiro 2018;0.32
março 2018;0.09
abril 2018;0.22
maio 2018;0.4
junho 2018;1.26
julho 2018;0.33
agosto 2018;-0.09
setembro 2018;0.48
outubro 2018;0.45
novembro 2018;-0.21
dezembro 2018;0.15
janeiro 2019;0.32
fevereiro 2019;0.43
março 2019;0.75
abril 2019;0.57
maio 2019;0.13
junho 2019;0.01
julho 2019;0.19
agosto 2019;0.11
setembro 2019;-0.04
outubro 2019;0.1
novembro 2019;0.51
dezembro 2019;1.15
janeiro 2020;0.21
